action	reward
0	3.16207298341306
1	0.17735319182304865
2	0.29830276735556926
3	2.759550481611835
4	1.5054641941581732
5	1.65179051675114
6	0.6776249066275237
7	0.45266611368680687
8	1.2927361820532943
9	0.025680964733613143
10	0.0
11	0.0
12	0.2999915037451498
13	2.6238721715765383
14	1.213419353369958
15	1.8936395819592968
16	1.7310509584798082
17	0.9580254117055872
18	0.3138203272623701
19	0.7008408895008554
20	1.4793309689546423
21	0.5667190942633753
22	0.0
23	0.7442886335936598
24	0.0
25	2.0269176685488692
26	0.0
27	1.5880621215510085
28	0.65308932762254
29	0.3737837339784722
30	0.0
31	1.0746936557741442
32	0.6284762624357654
33	1.2497128869450895
34	0.9584644009640338
35	0.0
36	0.0
37	0.0
38	1.3436519634454094
39	0.0
40	1.2086314935472757
41	1.2027642426808023
42	3.56183643319872
43	0.75302864440946
44	2.3631798789683507
45	1.3192145349818987
46	0.9172632996428407
47	1.7979479768087425
48	0.40428435486338987
49	1.2085004265887218
50	0.20314308186162178
51	2.5712360699599404
52	0.9640130863605623
53	1.0144585282080323
54	0.256688802884107
55	0.032718378196915365
56	0.5547696198165065
57	0.0
58	1.762372358699047
59	0.6373579328774903
60	0.35354893357318584
61	1.6393091628744207
62	2.791486984742737
63	2.096745514957466
64	0.8894983573045284
65	1.950498174962072
66	1.6844558594470516
67	2.066384117139143
68	0.4093610338226653
69	1.765242168915702
70	0.21652350161279854
71	0.36767942473700777
72	1.0687957273450857
73	0.9563462443367385
74	0.7162343386648546
75	0.12765638766488252
76	0.4229460447715928
77	1.516499131296982
78	0.4381450103309691
79	1.5627317863894354
80	0.21545345317297848
81	0.03046480812489505
82	0.46581253099537934
83	0.6702700751721908
84	3.8313678090358128
85	0.29558390338094087
86	0.5034709653967355
87	0.8890416535445979
88	2.875172820110107
89	1.959251697702987
90	1.8849253760231734
91	0.23888801272682025
92	0.32151551530824796
93	1.0989431156695182
94	1.7312394988797182
95	1.994675445394007
96	0.35582839678200884
97	1.068664923540255
98	0.6520981168659544
99	2.2333256717817482
100	0.7702414655724522
101	0.8485565953030902
102	0.8794320598717107
103	0.0
104	0.0
105	0.5635204734735035
